Pincode,District,State,Population_Density,Fire_Brigade_Vehicles,Ambulances,NDRF_Personnel,Special_Requirement
124002,Rohtak,Haryana,10000,4,3,54,"University Campus Security and Safety"
123001,Rewari,Haryana,7500,2,2,39,"Transportation Corridor Emergency Response"
123002,Rewari,Haryana,6500,2,1,36,"Logistics and Warehouse Safety"
781001,Guwahati,Assam,16000,7,6,80,"River Island Safety Management (Brahmaputra)"
781002,Guwahati,Assam,14500,6,5,75,"Urban Flood Control and Drainage"
785001,Dibrugarh,Assam,12000,5,4,60,"Oil and Gas Industry Safety Protocols"
785002,Dibrugarh,Assam,11000,4,3,55,"River Transportation Emergency Response (Brahmaputra)"
782001,Nagaon,Assam,9000,3,2,45,"Agricultural Flood Preparedness"
782002,Nagaon,Assam,8000,3,2,40,"Rural Road Access During Flood Events"
784001,Tezpur,Assam,10000,4,3,50,"Earthquake Resistant Construction Guidelines"
784002,Tezpur,Assam,9000,3,3,48,"Hilly Region Landslide Mitigation"
786001,Tinsukia,Assam,11500,5,4,58,"Coal Mining Area Safety Regulations"
786002,Tinsukia,Assam,10500,4,3,54,"Wildlife Corridor Protection (Dehing Patkai)"
783001,Bongaigaon,Assam,7500,2,2,38,"Petrochemical Industry Safety Measures"
783002,Bongaigaon,Assam,6500,2,1,35,"Industrial Waste Treatment Facilities"
787001,Dhemaji,Assam,6000,2,1,32,"River Embankment Safety (Brahmaputra)"
787002,Dhemaji,Assam,5500,2,1,29,"Remote Area Emergency Communication"
788001,Silchar,Assam,8500,3,2,42,"Hill Town Disaster Preparedness"
788002,Silchar,Assam,7500,2,2,39,"Urban Waterlogging Management"
784501,North Lakhimpur,Assam,7000,2,2,36,"Ferry Safety Regulations (Brahmaputra)"
784502,North Lakhimpur,Assam,6000,2,1,33,"Riverine Erosion Control Measures"
782101,Golaghat,Assam,6500,2,1,34,"Tea Estate Worker Safety"
782102,Golaghat,Assam,5500,2,1,30,"Agricultural Pest and Disease Outbreak Response"
