date,call_type,call_count,district,latitude,longitude,response_time,destruction_scale,event_category,event_name,event_radius_km,event_description,anomaly_flag
2023-07-13,Disaster,56,Leh,34.3348,77.483,24.5,4.3,Natural,Flash Flood,114,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-13,Disaster,76,Varanasi,25.3066,83.0176,21.6,4.7,Natural,Flash Flood,105,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-13,Disaster,47,Dehradun,30.2333,78.1724,29.4,6.4,Natural,River Overflow,122,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-14,Disaster,89,Pune,18.6138,74.05,19.9,9.2,Natural,Heavy Rainfall,44,Unusually heavy rainfall causing urban flooding and infrastructure damage.,True
2023-07-14,Disaster,176,Bengaluru,13.0789,77.4551,24.7,7.6,Natural,Monsoon Flooding,99,Widespread flooding due to monsoon rains affecting multiple areas.,False
2023-07-14,Medical,58,Goa,15.2439,73.9386,14.4,5.2,Healthcare,Cholera Outbreak,144,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-14,Medical,76,Srinagar,34.1201,74.6274,12.0,3.7,Healthcare,Dengue Outbreak,102,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-14,Medical,60,Srinagar,34.1312,74.7921,10.8,2.3,Healthcare,Malaria Surge,53,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-07-14,Disaster,90,Allahabad,25.447,81.6913,22.3,5.2,Natural,Flash Flood,22,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-14,Medical,42,Indore,22.6902,75.8502,13.7,4.8,Healthcare,Dengue Outbreak,63,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-14,Medical,30,Udaipur,24.6143,73.7661,14.1,5.2,Healthcare,Leptospirosis Cases,37,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-14,Medical,63,Dehradun,30.5146,78.1278,13.8,6.8,Healthcare,Leptospirosis Cases,125,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-14,Medical,58,Ahmedabad,22.975,72.6698,10.0,5.7,Healthcare,Leptospirosis Cases,109,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-15,Medical,58,Jaipur,27.0693,75.6937,14.0,6.2,Healthcare,Leptospirosis Cases,19,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-15,Medical,54,Lucknow,26.6655,80.7888,16.5,2.4,Healthcare,Cholera Outbreak,78,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-16,Disaster,121,Kolkata,22.7179,88.2801,19.9,6.5,Natural,Flash Flood,62,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-16,Disaster,80,Coimbatore,10.9427,76.8021,34.1,5.3,Natural,Monsoon Flooding,93,Widespread flooding due to monsoon rains affecting multiple areas.,False
2023-07-16,Disaster,89,Odisha,20.4132,84.3361,22.2,5.4,Natural,Heavy Rainfall,80,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-16,Disaster,75,Aizawl,23.8206,92.7123,34.9,7.1,Natural,Flash Flood,122,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-16,Medical,37,Jaipur,26.9937,75.6145,15.4,3.3,Healthcare,Leptospirosis Cases,30,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-16,Disaster,94,Shillong,25.5513,91.9772,31.3,6.3,Natural,River Overflow,16,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-16,Medical,49,Kolkata,22.616,88.2594,11.9,3.3,Healthcare,Dengue Outbreak,14,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-16,Medical,40,Raipur,21.1782,81.5461,13.1,3.1,Healthcare,Cholera Outbreak,42,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-17,Medical,77,Imphal,24.9694,94.0222,13.5,3.2,Healthcare,Cholera Outbreak,116,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-17,Medical,80,Dehradun,30.515,77.9536,17.0,6.1,Healthcare,Dengue Outbreak,27,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-17,Disaster,94,Varanasi,25.1631,83.1392,30.9,8.3,Natural,Flash Flood,59,Sudden flooding due to heavy rainfall overwhelming drainage systems.,True
2023-07-18,Disaster,50,Visakhapatnam,17.5494,83.3468,23.8,7.2,Natural,Landslide,70,Landslide triggered by heavy rainfall blocking roads and damaging structures.,False
2023-07-18,Medical,57,Jodhpur,26.33,72.8598,15.7,6.4,Healthcare,Cholera Outbreak,47,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-18,Disaster,84,Vadodara,22.4063,73.2509,31.9,7.0,Natural,Heavy Rainfall,65,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-18,Disaster,88,Ahmedabad,22.8661,72.4591,24.9,9.1,Natural,River Overflow,17,River exceeding danger levels and breaching banks causing flooding.,True
2023-07-18,Medical,71,Pune,18.4762,73.7027,11.7,3.7,Healthcare,Dengue Outbreak,72,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-18,Disaster,99,Gwalior,26.2995,78.2119,22.9,9.0,Natural,Flash Flood,47,Sudden flooding due to heavy rainfall overwhelming drainage systems.,True
2023-07-18,Medical,45,Chandigarh,30.7988,76.9509,15.6,2.9,Healthcare,Dengue Outbreak,30,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-19,Disaster,186,Mumbai,19.1348,73.0026,16.3,8.4,Natural,Heavy Rainfall,35,Unusually heavy rainfall causing urban flooding and infrastructure damage.,True
2023-07-19,Medical,36,Surat,21.017,72.9238,16.6,3.7,Healthcare,Dengue Outbreak,138,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-19,Disaster,50,Ahmedabad,23.1767,72.5695,23.7,4.6,Natural,Heavy Rainfall,101,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-20,Disaster,71,Ahmedabad,22.843,72.5599,22.0,4.8,Natural,River Overflow,7,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-20,Disaster,151,Delhi,28.5448,77.1314,22.6,4.3,Natural,Flash Flood,64,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-20,Medical,74,Srinagar,33.9672,74.8335,10.4,2.5,Healthcare,Malaria Surge,57,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-07-20,Medical,68,Indore,22.8892,76.0417,12.0,6.3,Healthcare,Cholera Outbreak,28,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-20,Disaster,83,Dehradun,30.1443,78.1686,26.1,5.0,Natural,Flash Flood,77,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-20,Disaster,89,Bhopal,23.3445,77.588,32.0,7.5,Natural,Flash Flood,19,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-21,Disaster,92,Odisha,20.6978,84.45,21.0,5.3,Natural,River Overflow,42,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-21,Medical,47,Vadodara,22.2352,73.138,15.1,2.2,Healthcare,Dengue Outbreak,56,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-21,Medical,40,Srinagar,34.2478,74.7895,13.9,2.3,Healthcare,Dengue Outbreak,32,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-21,Medical,52,Odisha,20.5202,84.3551,13.0,6.2,Healthcare,Malaria Surge,114,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-07-21,Disaster,91,Gangtok,27.4408,88.7751,23.1,6.7,Natural,Flash Flood,94,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-21,Medical,42,Guwahati,25.9871,91.7066,14.5,4.0,Healthcare,Cholera Outbreak,70,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-21,Medical,117,Bengaluru,13.1584,77.7523,11.0,3.6,Healthcare,Dengue Outbreak,13,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-21,Disaster,98,Agra,26.9965,78.0729,27.2,6.6,Natural,Flash Flood,63,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-21,Disaster,41,Hyderabad,17.4859,78.5125,22.7,5.4,Natural,Heavy Rainfall,84,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-21,Disaster,68,Bhopal,23.2614,77.4477,23.5,8.6,Natural,River Overflow,136,River exceeding danger levels and breaching banks causing flooding.,True
2023-07-21,Disaster,43,Udaipur,24.5544,73.8608,29.1,6.1,Natural,Flash Flood,116,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-21,Disaster,75,Dehradun,30.1516,77.9246,28.8,4.8,Natural,Flash Flood,23,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-22,Disaster,71,Ahmedabad,22.9715,72.5609,22.5,6.2,Natural,River Overflow,84,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-22,Disaster,84,Guwahati,26.1355,91.7519,23.7,6.5,Natural,River Overflow,144,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-22,Medical,56,Delhi,28.4323,77.2279,11.5,4.6,Healthcare,Cholera Outbreak,102,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-22,Disaster,83,Bhubaneswar,20.2472,85.8044,31.0,9.1,Natural,Flash Flood,145,Sudden flooding due to heavy rainfall overwhelming drainage systems.,True
2023-07-22,Disaster,133,Mumbai,18.9647,72.7894,21.4,6.9,Natural,Monsoon Flooding,80,Widespread flooding due to monsoon rains affecting multiple areas.,False
2023-07-22,Medical,78,Guwahati,26.1267,91.8907,15.5,5.8,Healthcare,Leptospirosis Cases,28,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-22,Medical,73,Udaipur,24.7278,73.7773,13.4,6.1,Healthcare,Leptospirosis Cases,62,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-23,Disaster,84,Kochi,9.7482,76.2457,22.7,7.0,Natural,Heavy Rainfall,71,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-23,Medical,52,Gwalior,26.0251,78.0026,13.0,3.3,Healthcare,Cholera Outbreak,110,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-23,Disaster,225,Chennai,12.9036,80.4107,16.0,4.3,Natural,River Overflow,21,River exceeding danger levels and breaching banks causing flooding.,True
2023-07-23,Medical,76,Udaipur,24.6596,73.8365,14.3,4.9,Healthcare,Malaria Surge,117,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-07-23,Disaster,108,Chennai,13.0116,80.201,17.3,7.6,Natural,Heavy Rainfall,69,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-23,Disaster,63,Lucknow,26.8836,81.0919,35.7,4.4,Natural,River Overflow,34,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-23,Disaster,83,Indore,22.6062,75.9927,29.3,7.8,Natural,Flash Flood,53,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-23,Medical,41,Bhubaneswar,20.2872,85.6848,11.8,6.2,Healthcare,Dengue Outbreak,104,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-23,Disaster,48,Vadodara,22.1706,73.3326,20.8,9.2,Natural,River Overflow,10,River exceeding danger levels and breaching banks causing flooding.,True
2023-07-23,Medical,66,Bhopal,23.1827,77.4769,13.0,2.1,Healthcare,Leptospirosis Cases,91,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-24,Disaster,142,Chennai,13.0095,80.2525,19.5,7.4,Natural,Flash Flood,122,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-24,Medical,40,Imphal,24.6764,93.909,13.1,5.6,Healthcare,Dengue Outbreak,145,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-24,Medical,35,Jaipur,26.742,75.8625,11.8,5.4,Healthcare,Dengue Outbreak,95,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-24,Disaster,61,Coimbatore,11.1689,77.0363,24.6,5.9,Natural,Flash Flood,150,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-24,Disaster,82,Agartala,23.6807,91.2802,31.1,5.9,Natural,River Overflow,113,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-24,Disaster,76,Patna,25.5037,85.029,29.0,4.6,Natural,Heavy Rainfall,34,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-24,Medical,31,Surat,21.067,72.8827,12.2,2.3,Healthcare,Leptospirosis Cases,135,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-24,Disaster,55,Odisha,20.5444,84.59,25.0,8.9,Natural,Heavy Rainfall,137,Unusually heavy rainfall causing urban flooding and infrastructure damage.,True
2023-07-25,Medical,52,Gangtok,27.1763,88.7372,13.0,6.3,Healthcare,Malaria Surge,128,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-07-25,Disaster,73,Jaipur,26.7147,75.9647,22.6,7.0,Natural,River Overflow,96,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-25,Medical,76,Bhubaneswar,20.3385,85.8429,15.4,3.3,Healthcare,Leptospirosis Cases,130,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-25,Medical,134,Kolkata,22.6757,88.1666,10.8,6.2,Healthcare,Malaria Surge,121,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-07-25,Medical,73,Aizawl,23.6793,92.5895,10.7,2.1,Healthcare,Leptospirosis Cases,82,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-25,Disaster,84,Coimbatore,11.1759,76.8651,27.1,7.4,Natural,Heavy Rainfall,104,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-25,Disaster,83,Nagpur,21.1111,79.264,27.2,8.0,Natural,River Overflow,143,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-26,Disaster,180,Bengaluru,12.7778,77.4078,19.7,6.2,Natural,Monsoon Flooding,199,Widespread flooding due to monsoon rains affecting multiple areas.,False
2023-07-26,Medical,35,Lucknow,26.9699,81.0911,12.1,3.1,Healthcare,Malaria Surge,53,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-07-26,Medical,78,Indore,22.7417,75.7302,10.1,4.0,Healthcare,Leptospirosis Cases,10,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-26,Disaster,79,Varanasi,25.2022,83.1017,24.5,6.8,Natural,River Overflow,16,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-26,Disaster,44,Vadodara,22.215,73.1252,25.6,8.6,Natural,River Overflow,143,River exceeding danger levels and breaching banks causing flooding.,True
2023-07-26,Disaster,44,Visakhapatnam,17.5251,83.0362,30.5,6.5,Natural,Heavy Rainfall,63,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-26,Medical,30,Agartala,23.7994,91.1533,13.1,4.2,Healthcare,Leptospirosis Cases,119,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-26,Disaster,60,Indore,22.8519,75.8623,25.1,7.8,Natural,Flash Flood,55,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-26,Disaster,164,Kolkata,22.6904,88.3992,22.5,7.1,Natural,Flash Flood,69,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-26,Disaster,81,Coimbatore,10.9416,76.9013,21.9,8.4,Natural,Heavy Rainfall,94,Unusually heavy rainfall causing urban flooding and infrastructure damage.,True
2023-07-26,Medical,44,Bhubaneswar,20.4522,85.7797,13.0,5.4,Healthcare,Dengue Outbreak,119,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-26,Medical,37,Guwahati,26.292,91.7304,13.7,5.9,Healthcare,Malaria Surge,87,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-07-27,Disaster,89,Mumbai,18.8969,72.8492,21.2,6.2,Natural,Heavy Rainfall,62,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-27,Disaster,55,Coimbatore,10.9828,77.0681,28.0,7.6,Natural,Monsoon Flooding,118,Widespread flooding due to monsoon rains affecting multiple areas.,False
2023-07-27,Disaster,81,Gangtok,27.1558,88.4574,25.9,6.4,Natural,Flash Flood,112,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-27,Disaster,90,Mysore,12.199,76.6533,28.2,7.2,Natural,Flash Flood,100,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-27,Medical,80,Jodhpur,26.4268,72.9762,13.6,4.0,Healthcare,Cholera Outbreak,10,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-27,Medical,67,Udaipur,24.6873,73.5369,13.3,5.8,Healthcare,Dengue Outbreak,119,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-27,Disaster,40,Agra,27.1735,78.1103,24.3,7.8,Natural,Flash Flood,71,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-28,Disaster,57,Bhubaneswar,20.195,85.7071,26.4,5.0,Natural,Heavy Rainfall,128,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-28,Disaster,64,Pune,18.401,73.8394,17.4,7.8,Natural,Flash Flood,5,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-28,Disaster,92,Nagpur,21.2797,79.1965,22.4,8.9,Natural,River Overflow,48,River exceeding danger levels and breaching banks causing flooding.,True
2023-07-28,Disaster,42,Goa,15.2577,74.272,21.5,8.5,Natural,Heavy Rainfall,64,Unusually heavy rainfall causing urban flooding and infrastructure damage.,True
2023-07-28,Disaster,52,Vijayawada,16.5075,80.584,22.6,7.1,Natural,Landslide,93,Landslide triggered by heavy rainfall blocking roads and damaging structures.,False
2023-07-28,Disaster,93,Agra,27.1204,77.9044,29.2,9.0,Natural,Flash Flood,80,Sudden flooding due to heavy rainfall overwhelming drainage systems.,True
2023-07-29,Disaster,116,Delhi,28.4883,77.1242,24.9,7.3,Natural,River Overflow,64,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-29,Disaster,89,Thiruvananthapuram,8.6876,77.0463,36.0,7.8,Natural,Landslide,63,Landslide triggered by heavy rainfall blocking roads and damaging structures.,False
2023-07-29,Disaster,91,Raipur,21.1996,81.6415,27.9,7.5,Natural,River Overflow,56,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-29,Medical,71,Shillong,25.575,91.8898,11.3,3.9,Healthcare,Cholera Outbreak,144,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-29,Medical,123,Delhi,28.6356,77.2478,9.7,2.4,Healthcare,Cholera Outbreak,97,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-29,Medical,64,Vijayawada,16.3473,80.6913,11.9,6.6,Healthcare,Dengue Outbreak,55,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-30,Disaster,76,Thiruvananthapuram,8.4666,76.7849,30.1,4.2,Natural,Flash Flood,28,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-30,Medical,66,Ranchi,23.1841,85.4301,15.3,5.0,Healthcare,Cholera Outbreak,70,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-07-30,Medical,57,Bhubaneswar,20.3081,85.7034,16.8,4.7,Healthcare,Leptospirosis Cases,148,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-30,Disaster,54,Mysore,12.1714,76.538,25.3,9.3,Natural,Monsoon Flooding,163,Widespread flooding due to monsoon rains affecting multiple areas.,True
2023-07-30,Disaster,95,Mangalore,12.854,74.9181,20.4,4.2,Natural,Flash Flood,142,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-07-30,Medical,69,Vijayawada,16.3671,80.5802,12.2,7.0,Healthcare,Dengue Outbreak,124,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-30,Disaster,52,Dehradun,30.4553,78.2077,27.0,8.2,Natural,Flash Flood,108,Sudden flooding due to heavy rainfall overwhelming drainage systems.,True
2023-07-31,Medical,53,Imphal,24.9548,93.7773,11.0,2.4,Healthcare,Leptospirosis Cases,9,Post-flood leptospirosis cases reported in affected areas.,False
2023-07-31,Disaster,100,Amritsar,31.6771,74.7001,20.8,6.2,Natural,Heavy Rainfall,50,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-07-31,Disaster,84,Ranchi,23.1822,85.3209,31.3,8.7,Natural,River Overflow,126,River exceeding danger levels and breaching banks causing flooding.,True
2023-07-31,Disaster,67,Agra,27.307,77.9437,35.9,5.5,Natural,River Overflow,28,River exceeding danger levels and breaching banks causing flooding.,False
2023-07-31,Medical,43,Dehradun,30.4879,78.2023,15.8,5.1,Healthcare,Dengue Outbreak,6,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-31,Disaster,70,Vijayawada,16.4317,80.5827,34.1,8.4,Natural,Flash Flood,23,Sudden flooding due to heavy rainfall overwhelming drainage systems.,True
2023-07-31,Medical,78,Patna,25.714,85.0815,12.5,6.9,Healthcare,Dengue Outbreak,46,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-07-31,Medical,73,Chandigarh,30.5658,76.6922,14.2,6.0,Healthcare,Malaria Surge,49,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-08-01,Disaster,59,Kochi,9.8583,76.1745,25.9,5.0,Natural,Monsoon Flooding,96,Widespread flooding due to monsoon rains affecting multiple areas.,False
2023-08-01,Medical,32,Aizawl,23.5519,92.8936,17.2,2.6,Healthcare,Cholera Outbreak,126,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-08-01,Disaster,75,Raipur,21.4444,81.8203,29.3,6.3,Natural,Flash Flood,115,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-08-01,Disaster,84,Agartala,23.7205,91.2379,29.5,7.1,Natural,Heavy Rainfall,98,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-08-01,Disaster,88,Agra,27.1167,77.9001,20.5,7.9,Natural,Flash Flood,24,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-08-02,Medical,62,Patna,25.682,85.0594,14.1,2.5,Healthcare,Leptospirosis Cases,95,Post-flood leptospirosis cases reported in affected areas.,False
2023-08-02,Medical,64,Shillong,25.758,91.9323,11.7,3.6,Healthcare,Malaria Surge,110,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-08-02,Disaster,63,Coimbatore,11.2044,76.7719,30.3,6.3,Natural,Heavy Rainfall,74,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-08-02,Disaster,96,Ranchi,23.3092,85.2303,27.1,4.6,Natural,Flash Flood,111,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-08-02,Disaster,97,Agartala,23.8792,91.4625,30.3,6.8,Natural,River Overflow,109,River exceeding danger levels and breaching banks causing flooding.,False
2023-08-02,Disaster,62,Ahmedabad,22.8957,72.4717,23.9,5.3,Natural,River Overflow,85,River exceeding danger levels and breaching banks causing flooding.,False
2023-08-02,Medical,35,Udaipur,24.4761,73.7736,16.2,6.3,Healthcare,Dengue Outbreak,102,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-08-02,Disaster,66,Odisha,20.6047,84.6652,24.5,7.7,Natural,Flash Flood,5,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-08-02,Medical,51,Guwahati,26.1203,91.7722,14.5,3.2,Healthcare,Cholera Outbreak,127,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-08-03,Medical,55,Amritsar,31.7599,74.8395,11.2,5.3,Healthcare,Leptospirosis Cases,13,Post-flood leptospirosis cases reported in affected areas.,False
2023-08-03,Medical,76,Ranchi,23.1504,85.5002,13.9,4.2,Healthcare,Dengue Outbreak,113,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-08-03,Disaster,75,Coimbatore,10.9371,77.0513,21.3,8.3,Natural,Landslide,143,Landslide triggered by heavy rainfall blocking roads and damaging structures.,True
2023-08-03,Disaster,40,Aizawl,23.7651,92.5816,34.2,8.2,Natural,Flash Flood,129,Sudden flooding due to heavy rainfall overwhelming drainage systems.,True
2023-08-03,Medical,128,Chennai,13.258,80.2926,8.8,2.6,Healthcare,Cholera Outbreak,136,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-08-03,Medical,73,Surat,20.9856,72.7816,16.7,6.3,Healthcare,Leptospirosis Cases,144,Post-flood leptospirosis cases reported in affected areas.,False
2023-08-03,Disaster,123,Mumbai,18.9344,72.6861,21.1,6.9,Natural,Heavy Rainfall,39,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-08-03,Disaster,65,Hyderabad,17.2749,78.5191,22.8,8.8,Natural,River Overflow,22,River exceeding danger levels and breaching banks causing flooding.,True
2023-08-03,Disaster,43,Mangalore,12.9742,74.8078,33.8,6.2,Natural,Flash Flood,52,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-08-03,Medical,50,Indore,22.8623,75.788,12.3,5.5,Healthcare,Cholera Outbreak,115,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-08-04,Disaster,149,Kolkata,22.3836,88.3591,18.7,6.9,Natural,Flash Flood,144,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-08-04,Medical,32,Leh,34.3032,77.5234,10.7,5.9,Healthcare,Leptospirosis Cases,117,Post-flood leptospirosis cases reported in affected areas.,False
2023-08-04,Disaster,62,Chandigarh,30.7828,76.6954,35.0,8.7,Natural,River Overflow,14,River exceeding danger levels and breaching banks causing flooding.,True
2023-08-04,Medical,59,Bhopal,23.4355,77.3245,15.0,5.1,Healthcare,Malaria Surge,104,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-08-05,Disaster,100,Agra,27.0414,77.9918,30.1,7.7,Natural,Heavy Rainfall,147,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-08-05,Medical,65,Jaipur,26.9198,75.7897,17.1,6.4,Healthcare,Cholera Outbreak,18,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-08-05,Medical,30,Leh,34.2957,77.737,14.7,2.9,Healthcare,Dengue Outbreak,135,"Surge in dengue fever cases following monsoon rains, straining local healthcare facilities.",False
2023-08-06,Disaster,101,Delhi,28.5527,77.3857,19.3,5.6,Natural,Flash Flood,143,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
2023-08-06,Medical,63,Gwalior,26.2835,78.0335,15.0,6.4,Healthcare,Cholera Outbreak,96,Waterborne cholera outbreak in affected areas following contamination of water sources.,False
2023-08-06,Disaster,77,Visakhapatnam,17.8074,83.2793,21.8,8.3,Natural,Monsoon Flooding,173,Widespread flooding due to monsoon rains affecting multiple areas.,True
2023-08-06,Medical,72,Nagpur,21.0609,79.1826,16.3,6.1,Healthcare,Leptospirosis Cases,75,Post-flood leptospirosis cases reported in affected areas.,False
2023-08-07,Disaster,99,Hyderabad,17.4359,78.2952,15.3,4.5,Natural,Heavy Rainfall,76,Unusually heavy rainfall causing urban flooding and infrastructure damage.,False
2023-08-07,Medical,50,Guwahati,26.149,91.684,12.9,5.6,Healthcare,Malaria Surge,96,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-08-07,Medical,37,Udaipur,24.6835,73.8698,11.5,6.6,Healthcare,Malaria Surge,148,"Increased malaria cases reported in rural areas, requiring medical intervention.",False
2023-08-07,Disaster,95,Agra,27.2366,78.1488,32.1,7.8,Natural,Flash Flood,8,Sudden flooding due to heavy rainfall overwhelming drainage systems.,False
